2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Auto-close: active position not found for ticket=346739235 symbol=ETHUSD - marking entry closed
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Audit auto-close (position_missing) écrit: artifacts\live_trading\mt5_auto_close_audit.jsonl
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Watchlist check: ticket=346739253 symbol=US500.cash auto_close_at=2025-11-12 10:26:40.471105 now=2025-11-12T13:11:25.080702
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Auto-close: active position not found for ticket=346739253 symbol=US500.cash - marking entry closed
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Audit auto-close (position_missing) écrit: artifacts\live_trading\mt5_auto_close_audit.jsonl
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Watchlist check: ticket=346688646 symbol=USDCAD auto_close_at=2025-11-12 10:36:37.769330 now=2025-11-12T13:11:25.080702
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Auto-close: active position not found for ticket=346688646 symbol=USDCAD - marking entry closed
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Audit auto-close (position_missing) écrit: artifacts\live_trading\mt5_auto_close_audit.jsonl
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Watchlist check: ticket=346744912 symbol=NZDJPY auto_close_at=2025-11-12 10:36:39.721894 now=2025-11-12T13:11:25.080702
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Auto-close: active position not found for ticket=346744912 symbol=NZDJPY - marking entry closed
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Audit auto-close (position_missing) écrit: artifacts\live_trading\mt5_auto_close_audit.jsonl
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Watchlist check: ticket=346739241 symbol=AUDNZD auto_close_at=2025-11-12 10:46:38.021904 now=2025-11-12T13:11:25.080702
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Auto-close: active position not found for ticket=346739241 symbol=AUDNZD - marking entry closed
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Audit auto-close (position_missing) écrit: artifacts\live_trading\mt5_auto_close_audit.jsonl
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Watchlist check: ticket=346750429 symbol=JP225.cash auto_close_at=2025-11-12 10:46:41.422028 now=2025-11-12T13:11:25.080702
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Auto-close: active position not found for ticket=346750429 symbol=JP225.cash - marking entry closed
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Audit auto-close (position_missing) écrit: artifacts\live_trading\mt5_auto_close_audit.jsonl
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Watchlist check: ticket=346756820 symbol=XAUUSD auto_close_at=2025-11-12 10:56:37.490866 now=2025-11-12T13:11:25.080702
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Auto-close: active position not found for ticket=346756820 symbol=XAUUSD - marking entry closed
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Audit auto-close (position_missing) écrit: artifacts\live_trading\mt5_auto_close_audit.jsonl
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Watchlist check: ticket=346628795 symbol=EURUSD auto_close_at=2025-11-12 10:56:39.570412 now=2025-11-12T13:11:25.080702
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Auto-close: active position not found for ticket=346628795 symbol=EURUSD - marking entry closed
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Audit auto-close (position_missing) écrit: artifacts\live_trading\mt5_auto_close_audit.jsonl
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Watchlist check: ticket=346756837 symbol=US500.cash auto_close_at=2025-11-12 10:56:40.569057 now=2025-11-12T13:11:25.080702
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Auto-close: active position not found for ticket=346756837 symbol=US500.cash - marking entry closed
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Audit auto-close (position_missing) écrit: artifacts\live_trading\mt5_auto_close_audit.jsonl
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Watchlist check: ticket=346761439 symbol=BTCUSD auto_close_at=2025-11-12 11:01:14.192456 now=2025-11-12T13:11:25.080702
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Auto-close: active position not found for ticket=346761439 symbol=BTCUSD - marking entry closed
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Audit auto-close (position_missing) écrit: artifacts\live_trading\mt5_auto_close_audit.jsonl
2025-11-12 14:11:25 | INFO     | enforce_auto_close   | PID:29108 | Watchlist check: ticket=346761453 symbol=XAUUSD auto_close_at=2025-11-12 11:01:15.269887 now=2025-11-12T13:11:25.080702
