iter	Logloss
0	0.6916332299
1	0.6899833819
2	0.6885709539
3	0.6862062288
4	0.6843425439
5	0.6828939484
6	0.6810989611
7	0.6790688668
8	0.6774322939
9	0.6758023931
10	0.6739624258
11	0.6723389681
12	0.6701352323
13	0.6676634751
14	0.6648080586
15	0.6633346097
16	0.6616564548
17	0.6589685856
18	0.6578118669
19	0.656575364
20	0.6551767019
21	0.6536921525
22	0.6522514601
23	0.650773269
24	0.6495738313
25	0.648480247
26	0.6476659033
27	0.6462213115
28	0.6449408953
29	0.6439847867
30	0.6430537349
31	0.6421584541
32	0.6412195943
33	0.6398257031
34	0.638595196
35	0.6371225671
36	0.6360519664
37	0.6352023015
38	0.6340856767
39	0.6321987118
40	0.631325194
41	0.6303803877
42	0.6294679876
43	0.6279425069
44	0.6268906787
45	0.6258054557
46	0.6249223553
47	0.6238692347
48	0.6233081508
49	0.6213892755
50	0.6199779797
51	0.6187035994
52	0.6167196403
53	0.6156520627
54	0.6143937115
55	0.613739637
56	0.6121352294
57	0.6112371338
58	0.6096447585
59	0.6092096998
60	0.607529651
61	0.6063356857
62	0.6051387748
63	0.6045219646
64	0.6038051926
65	0.6018304976
66	0.6011672091
67	0.600306273
68	0.5991138679
69	0.5977169802
70	0.5968598359
71	0.5962788215
72	0.5944991868
73	0.5939316176
74	0.5934051035
75	0.5926104975
76	0.591328918
77	0.5902835734
78	0.5895502949
79	0.5888209188
80	0.588001099
81	0.586425496
82	0.5857967215
83	0.5850880933
84	0.5843341775
85	0.5834478742
86	0.5817807171
87	0.580708047
88	0.5799517753
89	0.5793322466
90	0.5785440846
91	0.5777916257
92	0.5765594843
93	0.5760288287
94	0.5744745124
95	0.5731423475
96	0.5726616634
97	0.5717038493
98	0.5706784544
99	0.570213148
