symbol,direction,pnl,reason,timestamp
EURUSD,buy,17.45,IMPORT,2026-06-19 05:04:19.661901
EURUSD,buy,17.1,IMPORT,2026-06-19 05:04:19.677494
EURUSD,buy,14.75,IMPORT,2026-06-19 05:04:19.810121
BTCUSD,buy,2.91,IMPORT,2026-06-19 05:55:05.506020
EURUSD,buy,50.0,RAN,2026-06-19T06:45:42.869739
XAUUSD,sell,150.0,RANGING,2026-06-19T06:46:01.474102
EURUSD,buy,50.0,RAN,2026-06-19T07:52:41.210042
XAUUSD,sell,150.0,RANGING,2026-06-19T07:52:59.668586
EURUSD,buy,50.0,RAN,2026-06-19T08:24:19.777443
XAUUSD,sell,150.0,RANGING,2026-06-19T08:24:38.300172
EURUSD,buy,50.0,RAN,2026-06-19T09:02:28.625050
XAUUSD,sell,150.0,RANGING,2026-06-19T09:02:46.764422
EURUSD,buy,50.0,RAN,2026-06-19T09:03:08.744518
XAUUSD,sell,150.0,RANGING,2026-06-19T09:03:27.654318
EURUSD,buy,50.0,RAN,2026-06-19T09:23:14.248994
XAUUSD,sell,150.0,RANGING,2026-06-19T09:23:32.746721
EURUSD,buy,50.0,RAN,2026-06-19T10:13:16.194740
XAUUSD,sell,150.0,RANGING,2026-06-19T10:13:35.175918
EURUSD,buy,50.0,LIVE,2026-06-19 06:45:42.869739
XAUUSD,buy,150.0,LIVE,2026-06-19 06:46:01.474102
EURUSD,buy,50.0,LIVE,2026-06-19 07:52:41.210042
XAUUSD,buy,150.0,LIVE,2026-06-19 07:52:59.668586
XAUUSD,buy,42.42,LIVE,1781699538
BTCUSD,buy,6.76,LIVE,1781706038
BTCUSD,buy,-32.47,LIVE,1781722204
BTCUSD,buy,-32.65,LIVE,1781722244
EURUSD,buy,18.42,LIVE,1781735645
EURUSD,buy,18.9,LIVE,1781735651
EURUSD,buy,18.78,LIVE,1781735689
BTCUSD,buy,16.6,LIVE,1781770204
ETHUSD,buy,-7.8100000000000005,LIVE,1781771511
ETHUSD,buy,-2.7800000000000002,LIVE,1781781457
ETHUSD,buy,-3.44,LIVE,1781781458
EURUSD,buy,7.59,LIVE,1781786129
EURUSD,buy,7.44,LIVE,1781786318
EURUSD,buy,7.95,LIVE,1781786318
EURUSD,buy,3.05,LIVE,1781788791
EURUSD,buy,4.6,LIVE,1781788791
EURUSD,buy,1.92,LIVE,1781788810
EURUSD,buy,2.85,LIVE,1781791647
EURUSD,buy,3.6,LIVE,1781791647
EURUSD,buy,3.2,LIVE,1781791650
EURUSD,buy,2.2,LIVE,1781792694
EURUSD,buy,2.5,LIVE,1781792694
BTCUSD,buy,-3.25,LIVE,1781794807
BTCUSD,buy,-4.5,LIVE,1781794882
EURUSD,buy,2.1,LIVE,1781795220
BTCUSD,buy,-5.78,LIVE,1781795423
BTCUSD,buy,8.79,LIVE,1781801389
BTCUSD,buy,7.14,LIVE,1781801395
BTCUSD,buy,4.06,LIVE,1781803425
BTCUSD,buy,9.42,LIVE,1781805481
BTCUSD,buy,10.8,LIVE,1781805481
BTCUSD,buy,8.56,LIVE,1781805481
ETHUSD,buy,-3.91,LIVE,1781807938
ETHUSD,buy,-4.03,LIVE,1781807938
ETHUSD,buy,-4.07,LIVE,1781807938
BTCUSD,buy,41.9,LIVE,1781809212
BTCUSD,buy,42.29,LIVE,1781809215
BTCUSD,buy,34.88,LIVE,1781809274
BTCUSD,buy,6.99,LIVE,1781809808
ETHUSD,buy,3.48,LIVE,1781814646
EURUSD,buy,-0.95,LIVE,1781817020
EURUSD,buy,-0.9,LIVE,1781817920
EURUSD,buy,7.1,LIVE,1781821186
XAUUSD,buy,70.72,LIVE,1781822390
BTCUSD,buy,-3.49,LIVE,1781835020
BTCUSD,buy,-3.06,LIVE,1781835080
BTCUSD,buy,-5.01,LIVE,1781835155
BTCUSD,buy,-4.92,LIVE,1781835215
ETHUSD,buy,-16.16,LIVE,1781839883
ETHUSD,buy,-5.12,LIVE,1781855523
ETHUSD,buy,-1.07,LIVE,1781855523
XAUUSD,buy,418.75,LIVE,1781856106
EURUSD,buy,17.1,LIVE,1781856251
EURUSD,buy,14.75,LIVE,1781856251
EURUSD,buy,17.45,LIVE,1781856251
BTCUSD,buy,8.1,LIVE,1781859075
BTCUSD,buy,2.91,LIVE,1781859292
