timestamp,symbol,direction,volume,entry_price,sl_price,tp_price,exit_price,sl_atr,tp_atr,pnl,reason,duration_h,atr_h1
2026.05.19 15:14:02,EURUSD,SELL,0.42,1.16222,1.16622,1.14622,0,,,-1.68,closed,0.0,0.0
2026.05.19 15:14:04,USDCHF,BUY,0.42,0.78741,0.78341,0.80341,0,,,-3.73,closed,0.0,0.0
2026.05.19 15:14:07,AUDUSD,SELL,0.42,0.71189,0.71588,0.69588,0,,,0.42,closed,0.0,0.0
2026.05.19 15:14:10,NZDUSD,SELL,0.42,0.58463,0.58862,0.56862,0,,,-2.1,closed,0.0,0.0
2026.05.19 15:14:13,USDCAD,BUY,0.42,1.37559,1.37158,1.39158,0,,,-0.92,closed,0.0,0.0
2026.05.19 15:14:34,USDCHF,BUY,0.42,0.78739,0.78338,0.80338,0,,,3.2,closed,0.0,0.0
2026.05.19 15:14:37,AUDUSD,SELL,0.42,0.71183,0.71584,0.69584,0,,,-9.66,closed,0.0,0.0
2026.05.19 15:14:41,USDJPY,SELL,0.42,159.099,159.494,157.894,0,,,-6.86,closed,0.0,0.0
2026.05.19 15:14:44,USDCAD,BUY,0.42,1.37563,1.3716,1.3916,0,,,34.47,closed,0.0,0.0
2026.05.19 15:14:47,ETHUSD,SELL,0.5,2112.65,2116.65,2096.65,0,,,-7.4,closed,0.0,0.0
2026.05.19 15:15:29,ETHUSD,SELL,0.5,2113.32,2117.53,2097.53,0,,,-6.75,closed,0.0,0.0
2026.05.19 15:16:16,ETHUSD,SELL,0.5,2113.69,2117.69,2097.69,0,,,-2.4,closed,0.0,0.0
2026.05.19 15:20:01,USDCHF,BUY,0.42,0.7875,0.78349,0.80349,0,,,-2.13,closed,0.0,0.0
2026.05.19 15:20:27,EURUSD,SELL,0.42,1.16211,1.16611,1.14611,0,,,-2.94,closed,0.0,0.0
2026.05.19 15:20:30,USDJPY,SELL,0.42,159.118,159.518,157.918,0,,,-2.64,closed,0.0,0.0
2026.05.19 15:20:59,EURUSD,SELL,0.42,1.16218,1.16616,1.14616,0,,,0.0,closed,0.0,0.0
2026.05.19 15:21:02,AUDUSD,SELL,0.42,0.71203,0.71603,0.69603,0,,,1.68,closed,0.0,0.0
2026.05.19 15:21:05,NZDUSD,SELL,0.42,0.58463,0.58863,0.56863,0,,,-1.26,closed,0.0,0.0
2026.05.19 15:21:35,AUDUSD,SELL,0.42,0.71196,0.71596,0.69596,0,,,8.82,closed,0.0,0.0
2026.05.19 15:21:39,NZDUSD,SELL,0.42,0.58461,0.58861,0.56861,0,,,5.04,closed,0.0,0.0
2026.05.19 15:21:42,USDCHF,BUY,0.42,0.78746,0.78346,0.80346,0,,,0.53,closed,0.0,0.0
2026.05.19 15:22:15,NZDUSD,SELL,0.42,0.58443,0.58842,0.56842,0,,,-0.84,closed,0.0,0.0
2026.05.19 15:22:18,USDJPY,SELL,0.42,159.117,159.519,157.919,0,,,-3.17,closed,0.0,0.0
2026.05.19 15:22:21,USDCHF,BUY,0.42,0.78752,0.78352,0.80352,0,,,14.39,closed,0.0,0.0
2026.05.19 15:22:58,AUDUSD,SELL,0.42,0.71183,0.71582,0.69582,0,,,-1.68,closed,0.0,0.0
2026.05.19 15:29:24,GBPUSD,SELL,0.42,1.34172,1.34573,1.32973,0,,,-10.92,closed,0.0,0.0
2026.05.19 15:44:11,EURUSD,SELL,0.42,1.16183,1.16583,1.14583,0,,,2.1,closed,0.0,0.0
2026.05.19 15:44:14,AUDUSD,SELL,0.42,0.71184,0.71583,0.69583,0,,,4.62,closed,0.0,0.0
2026.05.19 15:44:17,NZDUSD,SELL,0.42,0.58436,0.58837,0.56837,0,,,-2.1,closed,0.0,0.0
2026.05.19 15:44:54,EURUSD,SELL,0.42,1.16177,1.16576,1.14576,0,,,-14.28,closed,0.0,0.0
2026.05.19 15:44:57,USDCHF,BUY,0.42,0.78785,0.78385,0.80385,0,,,-17.07,closed,0.0,0.0
2026.05.19 15:45:00,NZDUSD,SELL,0.42,0.58433,0.58833,0.56833,0,,,-3.36,closed,0.0,0.0
2026.05.19 15:45:37,USDJPY,BUY,0.42,158.958,158.536,160.536,0,,,0.0,closed,0.0,0.0
2026.05.19 15:48:43,EURUSD,SELL,0.42,1.16209,1.16609,1.14609,0,,,7.14,closed,0.0,0.0
2026.05.19 15:49:27,EURUSD,SELL,0.42,1.1619,1.1659,1.1459,0,,,-1.68,closed,0.0,0.0
2026.05.19 15:49:30,NZDUSD,SELL,0.42,0.58435,0.58834,0.56834,0,,,20.58,closed,0.0,0.0
2026.05.19 15:49:33,USDCHF,BUY,0.42,0.78762,0.78359,0.80359,0,,,-4.27,closed,0.0,0.0
2026.05.19 15:49:35,USDJPY,BUY,0.42,159.03,158.63,160.63,0,,,-4.23,closed,0.0,0.0
2026.05.19 15:50:09,EURUSD,SELL,0.42,1.16192,1.16592,1.14592,0,,,8.82,closed,0.0,0.0
2026.05.19 15:50:13,USDJPY,BUY,0.42,159.019,158.618,160.618,0,,,-0.79,closed,0.0,0.0
2026.05.19 15:50:47,AUDUSD,SELL,0.42,0.71173,0.71573,0.69573,0,,,0.42,closed,0.0,0.0
2026.05.19 15:50:50,USDJPY,BUY,0.42,159.023,158.62,160.62,0,,,15.31,closed,0.0,0.0
2026.05.19 15:51:15,USDCHF,BUY,0.42,0.78757,0.78357,0.80357,0,,,2.67,closed,0.0,0.0
