sym,trades,wr,pnl,avg_win,avg_loss,pf
AUDUSD,6,100.0,800613.16,133435.52666666667,0.0,800613.16
EURUSD,34,79.41176470588235,4604373.75,170542.12222222224,-37.65,17471.589072282302
GBPUSD,31,90.32258064516128,4205390.48,150193.77964285715,-11.783333333333333,118965.37001414427
NZDUSD,1,100.0,200154.51,200154.51,0.0,200154.51
USDCAD,31,83.87096774193549,4200497.389999999,161570.79576923078,-68.66,12236.646344305273
USDCHF,29,89.65517241379311,4001207.21,153912.92961538464,-176.31999999999996,7565.290702510589
