timestamp,symbol,direction,profit,regime,source
2026-06-18 19:19:58.587406,EURUSD,BUY,7.1,IMPORT,LIVE
2026-06-18 19:39:53.521620,XAUUSD,BUY,70.72,IMPORT,LIVE
2026-06-18 19:40:03.928117,XAUUSD,BUY,70.72,IMPORT,LIVE
2026-06-18 23:10:36.444219,BTCUSD,BUY,-3.49,IMPORT,LIVE
2026-06-18 23:11:36.468619,BTCUSD,BUY,-3.06,IMPORT,LIVE
2026-06-18 23:12:51.533863,BTCUSD,BUY,-5.01,IMPORT,LIVE
2026-06-18 23:13:51.553194,BTCUSD,BUY,-4.92,IMPORT,LIVE
2026-06-19 00:31:38.965206,ETHUSD,BUY,-16.16,IMPORT,LIVE
2026-06-19 04:52:19.221928,ETHUSD,BUY,-5.12,IMPORT,LIVE
2026-06-19 04:52:19.239103,ETHUSD,BUY,-1.07,IMPORT,LIVE
2026-06-19 04:59:19.486230,US500.cash,BUY,1.87,IMPORT,LIVE
2026-06-19 05:01:49.560814,XAUUSD,BUY,418.75,IMPORT,LIVE
2026-06-19 05:04:19.661901,EURUSD,BUY,17.45,IMPORT,LIVE
2026-06-19 05:04:19.677494,EURUSD,BUY,17.1,IMPORT,LIVE
2026-06-19 05:04:19.810121,EURUSD,BUY,14.75,IMPORT,LIVE
2026-06-19 05:55:05.506020,BTCUSD,BUY,2.91,IMPORT,LIVE
2026-06-19T06:45:42.869739,EURUSD,BUY,50.0,RAN,LIVE
2026-06-19T06:46:01.474102,XAUUSD,SELL,150.0,RANGING,LIVE
