timestamp,symbol,direction,lot,ret
2025-12-29T01:08:54.132000,AUDUSD,1,495413.25,10014
2025-12-29T01:08:54.133000,NZDUSD,1,495413.25,10014
2025-12-29T01:08:54.135000,USDCHF,-1,390886.01,10014
2025-12-29T01:08:59.141000,EURUSD,1,495413.25,10014
2025-12-29T01:08:59.141000,GBPUSD,1,495413.25,10014
2025-12-29T01:08:59.141000,USDJPY,-1,773320.27,10014
2025-12-29T01:08:59.141000,USDCAD,1,677403.31,10014
2025-12-29T01:08:59.149000,AUDUSD,1,495413.25,10014
2025-12-29T01:08:59.149000,NZDUSD,1,495413.25,10014
2025-12-29T01:08:59.152000,USDCHF,-1,390886.01,10014
2025-12-29T01:09:04.162000,EURUSD,1,495413.25,10014
2025-12-29T01:09:04.164000,GBPUSD,1,495413.25,10014
2025-12-29T01:09:04.172000,USDJPY,-1,773250.91,10014
2025-12-29T01:09:04.176000,USDCAD,1,677398.35,10014
2025-12-29T01:09:04.178000,AUDUSD,1,495413.25,10014
2025-12-29T01:09:04.181000,NZDUSD,1,495413.25,10014
2025-12-29T01:09:04.186000,USDCHF,-1,390881.05,10014
2025-12-29T01:09:04.189000,XAUUSD,-1,495413.25,10014
2025-12-29T01:09:09.194000,EURUSD,1,495413.25,10014
2025-12-29T01:09:09.194000,GBPUSD,1,495413.25,10014
2025-12-29T01:09:09.194000,USDJPY,-1,773250.91,10014
2025-12-29T01:09:09.201000,AUDUSD,1,495413.25,10014
2025-12-29T01:09:09.202000,NZDUSD,1,495413.25,10014
2025-12-29T01:09:09.205000,USDCHF,-1,390881.05,10014
2025-12-29T01:09:09.209000,XAUUSD,-1,495413.25,10014
2025-12-29T01:09:14.217000,EURUSD,1,495413.25,10014
2025-12-29T01:09:14.220000,GBPUSD,1,495413.25,10014
2025-12-29T01:09:14.225000,USDJPY,-1,773245.95,10014
2025-12-29T01:09:14.225000,USDCAD,1,677428.08,10014
2025-12-29T01:09:14.232000,AUDUSD,1,495413.25,10014
2025-12-29T01:09:14.234000,NZDUSD,1,495413.25,10014
2025-12-29T01:09:14.236000,USDCHF,-1,390930.6,10014
2025-12-29T01:09:14.239000,XAUUSD,-1,495413.25,10014
2025-12-29T01:09:19.244000,EURUSD,1,495413.25,10014
2025-12-29T01:09:19.244000,GBPUSD,1,495413.25,10014
2025-12-29T01:09:19.244000,USDJPY,-1,773300.45,10014
2025-12-29T01:09:19.244000,USDCAD,1,677423.12,10014
2025-12-29T01:09:19.244000,AUDUSD,1,495413.25,10014
2025-12-29T01:09:19.253000,NZDUSD,1,495413.25,10014
2025-12-29T01:09:19.253000,USDCHF,-1,390940.5,10014
2025-12-29T01:09:19.253000,XAUUSD,-1,495413.25,10014
2025-12-29T01:09:24.261000,EURUSD,1,495413.25,10014
2025-12-29T01:09:24.261000,GBPUSD,1,495413.25,10014
2025-12-29T01:09:24.261000,USDJPY,-1,773236.05,10014
2025-12-29T01:09:24.261000,USDCAD,1,677428.08,10014
2025-12-29T01:09:24.272000,NZDUSD,1,495413.25,10014
2025-12-29T01:09:24.274000,USDCHF,-1,390910.78,10014
2025-12-29T01:09:24.278000,XAUUSD,-1,495413.25,10014
2025-12-29T01:09:24.284000,US500.cash,1,49541324.99,10014
2025-12-29T01:09:29.288000,EURUSD,1,495413.25,10014
2025-12-29T01:09:29.292000,GBPUSD,1,495413.25,10014
2025-12-29T01:09:29.293000,USDJPY,-1,773241.0,10014
2025-12-29T01:09:29.293000,USDCAD,1,677428.08,10014
2025-12-29T01:09:29.300000,NZDUSD,1,495413.25,10014
2025-12-29T01:09:29.303000,USDCHF,-1,390920.69,10014
2025-12-29T01:09:29.307000,XAUUSD,-1,495413.25,10014
2025-12-29T01:09:29.314000,US500.cash,1,49541324.99,10014
2025-12-29T01:09:34.318000,EURUSD,1,495413.25,10014
