bar,action,entry,exit,result,profit_usd,lot,score
11833,BUY,4714.78,4699.775854306527,SL,-741.0930347234321,0.49392551223083053,0.95
11860,SELL,4719.65,4732.53486748221,SL,-738.1286625845394,0.5728647683832633,0.95
11914,SELL,4698.71,4718.401060527578,SL,-735.1761479342289,0.37335528317765854,0.95
11915,SELL,4694.19,4713.8541276327505,SL,-732.2354433424917,0.3723711811771102,0.95
11975,BUY,4711.2,4766.684377029832,TP,2025.8513932475487,0.3651210487878986,0.95
11976,BUY,4716.37,4770.694778670558,TP,2048.3608531724963,0.37705829702397603,0.95
11977,BUY,4718.23,4754.576106135863,TP,1739.7411512945223,0.478659569416132,0.95
11978,BUY,4717.98,4752.859955697587,TP,1755.9787353732775,0.5034349098943208,0.95
12004,BUY,4749.13,4733.7670682482385,SL,-759.5862301014557,0.4944279141345251,0.95
12005,BUY,4746.07,4730.085420516221,SL,-756.5478851810385,0.4732985850198977,0.95
12069,SELL,4677.06,4698.2919846912855,SL,-753.52169364035,0.3548993203398649,0.95
12070,SELL,4679.23,4699.639700070478,SL,-750.5076068657785,0.367721036700259,0.95
12106,SELL,4700.43,4714.313380164585,SL,-747.5055764383023,0.5384175665988766,0.95
12110,SELL,4701.22,4712.202060011469,SL,-744.5155541325464,0.6779379764406852,0.95
12137,SELL,4698.92,4673.597098396213,TP,1730.2541478040323,0.6832764170853531,0.95
12166,BUY,4691.87,4679.694569205,SL,-748.4585085072366,0.6147285637027547,0.949
12175,SELL,4690.57,4700.5766384956805,SL,-745.4646744731936,0.7449701263765647,0.95
12176,SELL,4688.74,4698.286878603132,SL,-742.4828157753194,0.7777231141618406,0.95
12217,BUY,4699.01,4683.600511412826,SL,-739.5128845122197,0.4799074805946006,0.95
12255,SELL,4681.27,4651.257857252498,TP,1718.627943606384,0.5726441987383288,0.95
12271,SELL,4661.56,4629.062881284052,TP,2065.081513190519,0.6354660335400972,0.95
12272,SELL,4662.18,4631.061246906619,TP,2088.0268633371284,0.6709866738784084,0.95
12274,SELL,4663.65,4632.1815343225435,TP,2111.2271618186546,0.6709024785187182,0.95
12389,BUY,4538.1,4585.8007803376495,TP,1793.1356027712782,0.3759132639085985,0.95
12391,BUY,4539.59,4587.713861617667,TP,1809.8715350638233,0.3760860982941968,0.95
12393,BUY,4537.27,4584.484375578499,TP,1826.7636693910765,0.3869083614912824,0.95
12439,SELL,4548.02,4565.394222893921,SL,-790.2057701308876,0.45481502968824855,0.95
12440,SELL,4546.86,4563.430349830069,SL,-787.0449470503486,0.4749718353092056,0.95
12462,BUY,4573.41,4557.352480943896,SL,-783.8967672621611,0.4881804994428314,0.95
12524,SELL,4508.29,4533.25353664479,SL,-780.7611801931257,0.31276064417582056,0.95
12527,SELL,4505.85,4529.8511392159635,SL,-777.6381354723379,0.32400051034041416,0.95
12528,SELL,4507.6,4530.480772129109,SL,-774.5275829304505,0.3385058767073272,0.95
12529,SELL,4510.25,4532.135431262744,SL,-771.429472598727,0.3524853878077147,0.95
12530,SELL,4506.89,4528.191900458262,SL,-768.3437547083358,0.36069258525256637,0.95
12550,SELL,4486.11,4498.885659585542,SL,-765.2703796895199,0.5990065519243545,0.944
12573,SELL,4469.28,4487.764454102832,SL,-762.2092981707343,0.4123515327693342,0.95
12574,SELL,4468.23,4486.461278809773,SL,-759.1604609780686,0.41640549129833976,0.95
12589,BUY,4480.13,4514.5951255728,TP,1764.2889113129968,0.5119055514787988,0.95
12670,SELL,4532.94,4502.847972726635,TP,1780.7556078186092,0.5917699035833344,0.95
12700,SELL,4513.0,4530.1414021010205,SL,-770.3039972106614,0.4493821407787883,0.95
12720,BUY,4531.82,4512.036848763089,SL,-767.2227812218272,0.38781626447377443,0.95
12734,SELL,4540.35,4517.786445688763,TP,1783.0257435595017,0.7902237914136969,0.95
12751,SELL,4526.84,4493.24760830071,TP,2142.461091864402,0.637781647416818,0.95
12752,SELL,4529.29,4506.557445395461,TP,1819.6636206901837,0.8004659627329729,0.95
12756,SELL,4527.06,4536.052732348057,SL,-787.1344919214084,0.8753007000052467,0.936
12778,BUY,4524.67,4512.730214038856,SL,-783.9859539537248,0.6566164221913542,0.95
12803,SELL,4514.8,4528.57100574376,SL,-780.8500101379192,0.567024678275044,0.947
12811,BUY,4515.05,4543.582805343623,TP,1814.695423560466,0.6360031555628596,0.95
12812,BUY,4514.75,4541.997247819078,TP,1831.6325808470613,0.6722266384513733,0.95
12843,SELL,4558.28,4570.668019753858,SL,-792.3119221149941,0.6395791561990561,0.95
12844,SELL,4559.67,4571.68208977144,SL,-789.1426744265166,0.6569570236669491,0.95
12845,SELL,4560.73,4572.221583359194,SL,-785.9861037288192,0.6839667599852369,0.95
12883,BUY,4564.98,4555.566945295127,SL,-782.8421593138864,0.8316558055363839,0.94
12902,BUY,4570.78,4563.31025437538,SL,-746.9745624619463,1.0,0.95
12987,SELL,4499.31,4512.609421675378,SL,-776.7228924268067,0.584027570059542,0.95
13021,SELL,4508.41,4483.258922716068,TP,1805.1040019998995,0.7177044472576569,0.95
13039,SELL,4491.62,4463.472517597375,TP,1821.9516393518595,0.6472876022411076,0.95
13059,SELL,4447.81,4369.750888999203,TP,2189.2339539513614,0.2804584789505229,0.95
13060,SELL,4445.32,4367.429396927831,TP,2213.558775661938,0.2841881675522497,0.95
13061,SELL,4443.11,4470.8757158841245,SL,-805.7353943409346,0.29019075096191493,0.95
13080,BUY,4450.92,4438.415015087943,SL,-802.5124527635661,0.6417540352166358,0.95
13082,BUY,4450.75,4438.925676274808,SL,-799.3024029524975,0.6759814950343241,0.95
13130,BUY,4386.91,4432.800653784062,TP,2211.403314835328,0.48188533666159067,0.937
13133,BUY,4391.06,4377.861441359667,SL,-804.9508066000549,0.6098778120666968,0.95
13219,BUY,4515.12,4555.0681584257945,TP,2227.030564926842,0.5574801574554791,0.95
13220,BUY,4517.0,4556.0090042525235,TP,2251.775348981566,0.5772450212788754,0.938
13257,BUY,4554.04,4532.566187594782,SL,-819.6462270293093,0.38169571921478196,0.95
13258,BUY,4553.35,4532.642459909441,SL,-816.3676421211829,0.3942369004483333,0.95
13259,BUY,4558.03,4538.010855630195,SL,-813.102171552683,0.4061622997130145,0.95
13260,BUY,4559.27,4540.070080228039,SL,-809.8497628664622,0.42179851399646046,0.95
13262,BUY,4553.2,4538.26651172848,SL,-806.6103638150125,0.540135264547203,0.95
13263,BUY,4558.41,4543.70318946216,SL,-803.3839223597616,0.5462665887295368,0.95
13300,SELL,4520.31,4483.845306482077,TP,2222.6955185286706,0.6095472919403943,0.95
13319,SELL,4501.39,4463.438918109105,TP,2247.3921354011677,0.5921813090499293,0.95
13320,SELL,4500.76,4462.923281101311,TP,2272.3631591278954,0.6005708806866449,0.95
13341,SELL,4472.22,4492.89928170732,SL,-827.140189922553,0.399984971252536,0.95
13342,SELL,4474.0,4494.046904442512,SL,-823.8316291628673,0.4109520407628816,0.95
13346,SELL,4479.97,4499.321683876056,SL,-820.5363026462092,0.4240128703536037,0.95
13347,SELL,4474.93,4494.115706456338,SL,-817.2541574356051,0.42597032290445186,0.95
13357,BUY,4483.31,4472.19630552379,SL,-813.9851408059037,0.73241633783285,0.95
13358,BUY,4481.0,4470.127283700663,SL,-810.7292002426253,0.7456546992696204,0.95
13359,BUY,4483.37,4472.831406293472,SL,-807.4862834416585,0.7662182506775139,0.95
13361,BUY,4482.4,4472.818993181616,SL,-804.2563383079187,0.8394277903703617,0.95
13362,BUY,4483.77,4474.575493668644,SL,-801.039312954667,0.8712151409618184,0.95
13363,BUY,4484.4,4475.548315549455,SL,-797.8351557028374,0.9013370959622654,0.95
13451,SELL,4489.78,4458.804325364834,TP,2207.3439307779554,0.7126056031954876,0.937
13452,SELL,4489.65,4460.022587838775,TP,2231.869974453231,0.7533124939525422,0.946
