bar,action,entry,exit,result,profit_usd,lot,score
12371,SELL,73181.5,73854.94587717863,SL,-987.073651888423,0.014657059837142689,0.95
12372,SELL,73228.5,73880.50402880873,SL,-983.1253572808773,0.015078516601762895,0.95
12373,SELL,73461.04,73038.12,TIMEOUT,629.2628605096164,0.014879004551915705,0.95
12374,SELL,73462.55,73234.7,TIMEOUT,350.48085034037126,0.015382086914213838,0.807
12375,SELL,73419.22,73114.25,TIMEOUT,477.25733755326684,0.01564932083658278,0.807
12376,SELL,73240.36,73872.0677547586,SL,-985.0208600453574,0.015592983505826698,0.807
12377,SELL,73257.59,73867.0786294187,SL,-981.0807766051863,0.01609678555514464,0.686
12378,SELL,73293.34,73880.35801303164,SL,-977.1564534987565,0.016646106794104148,0.686
12386,BUY,73374.75,72846.86791197234,SL,-973.2478276847604,0.018436841290090544,0.95
12387,BUY,73414.2,72897.3494896886,SL,-969.3548363740234,0.018755032974427967,0.95
12388,BUY,73332.32,72824.35024042513,SL,-965.4774170285259,0.019006592397085752,0.95
12389,BUY,73452.85,73029.54423366231,SL,-961.6155073604069,0.02271680623866739,0.95
12390,BUY,73478.53,73065.76928840071,SL,-957.7690453309631,0.023203977956622407,0.95
12391,BUY,73372.09,72966.52826780066,SL,-953.9379691496341,0.023521399910600354,0.95
12393,BUY,73453.43,73038.74411866485,SL,-950.1222172730472,0.022911853526673916,0.807
12405,SELL,72986.25,73677.85059004085,SL,-946.3217284039678,0.013683067105944397,0.807
12419,BUY,73451.56,72875.8690177763,SL,-942.5364414903494,0.016372263429412462,0.95
12422,BUY,73393.01,72853.5263764776,SL,-938.7662957243809,0.017401200977983276,0.95
12423,BUY,73414.67,72860.44056387206,SL,-935.0112305414834,0.01687047221948081,0.95
12461,SELL,73480.73,73843.24071464197,SL,-931.2711856193312,0.025689480283060773,0.95
12474,BUY,73624.22,73230.59956574276,SL,-927.5461008768391,0.023564480401712412,0.95
12478,BUY,73707.31,73335.56806635721,SL,-923.835916473335,0.024851539007731908,0.95
12479,BUY,73671.99,73314.00820447456,SL,-920.140572807435,0.025703557675519968,0.95
12498,SELL,73065.2,73804.31655956307,SL,-916.4600105162135,0.012399397614064767,0.95
12510,BUY,73948.8,73464.92,TIMEOUT,-516.1029609191922,0.010665928761659654,0.665
12512,BUY,73757.31,73488.41,TIMEOUT,-352.7063840594624,0.01311663756264299,0.665
