bar,action,entry,exit,result,profit_usd,lot,score
12869,BUY,212.977,212.806386736801,SL,-653.1880163163713,0.038284715037332405,0.95
12870,BUY,213.007,212.83850196988664,SL,-650.5752642511003,0.03861025934922675,0.95
12924,BUY,212.782,212.63240419473058,SL,-647.9729631941076,0.04331491528302439,0.95
12925,BUY,212.747,212.59973246653556,SL,-645.3810713412973,0.04382371702429963,0.95
12926,BUY,212.699,212.55057300464014,SL,-642.799547056003,0.04330745532492243,0.95
12927,BUY,212.673,212.52831779002298,SL,-640.228348867774,0.044250661430279586,0.95
12959,BUY,213.24,213.67790877916528,TP,1594.1685886807668,0.03640412488919566,0.95
12960,BUY,213.266,213.0930624534529,SL,-644.0441098270413,0.03724142747981107,0.95
12965,BUY,213.291,213.12943983446235,SL,-641.4679333877642,0.03970458505368844,0.95
12966,BUY,213.274,213.0995512748579,SL,-638.9020616541761,0.036624060229374054,0.95
12967,BUY,213.236,213.05429761236803,SL,-636.3464534075863,0.035021358921079174,0.948
12988,BUY,213.448,213.31481058641742,SL,-633.8010675939292,0.047586444789092595,0.95
12989,BUY,213.415,213.28628840167332,SL,-631.2658633234981,0.04904498674014783,0.95
12990,BUY,213.444,213.31698208726806,SL,-628.7407998702972,0.049500167838315096,0.95
12991,BUY,213.43,213.30455479532037,SL,-626.2258366707521,0.049920269034597065,0.943
13026,BUY,213.534,213.37629987084864,SL,-623.7209333240721,0.03955107308285475,0.95
13027,BUY,213.555,213.4011713086452,SL,-621.2260495907353,0.040384277088974886,0.95
13028,BUY,213.531,213.38344478659909,SL,-618.7411453924467,0.041932855582084524,0.95
13029,BUY,213.534,213.39334158755628,SL,-616.266180810885,0.04381296291521095,0.95
13030,BUY,213.462,213.32271004558797,SL,-613.8011160876392,0.04406643096974595,0.95
13050,BUY,213.693,213.53510101998899,SL,-611.3459116233055,0.038717533930910375,0.95
13051,BUY,213.692,213.54002237570407,SL,-608.9005279767453,0.040065143194439275,0.95
13053,BUY,213.661,213.50419786476525,SL,-606.4649258648114,0.038677083380072905,0.95
13085,BUY,214.274,214.08231594074624,SL,-604.039066161411,0.03151222216980276,0.95
13086,BUY,214.242,214.0565790878358,SL,-601.622909896765,0.03244633536070528,0.95
13087,BUY,214.248,214.06696629584752,SL,-599.2164182571502,0.03309971593756277,0.95
13088,BUY,214.268,214.09261156042984,SL,-596.81955258415,0.03402844304030765,0.95
13089,BUY,214.192,214.01085359182773,SL,-594.4322743737853,0.03281501854612774,0.95
13101,SELL,213.913,214.12387347786506,SL,-592.0545452763212,0.028076292536665545,0.95
13102,SELL,213.919,214.11952537230326,SL,-589.6863270951677,0.029407068059367967,0.95
13103,SELL,213.893,214.08391641713874,SL,-587.3275817868066,0.030763597525507738,0.95
13104,SELL,213.918,214.10427953020027,SL,-584.9782714596982,0.03140325031047672,0.95
13105,SELL,213.928,214.10597384947167,SL,-582.6383583738256,0.03273730158129617,0.95
13106,SELL,213.923,214.09369000308084,SL,-580.3078049403373,0.03399776170052059,0.95
13107,SELL,213.905,214.07464071714648,SL,-577.9865737205347,0.03407121730223911,0.95
13108,SELL,213.939,214.1098092373503,SL,-575.6746274256832,0.033702780736912616,0.95
13109,SELL,213.924,214.0908942918253,SL,-573.3719289159602,0.03435539482178304,0.95
13110,SELL,213.929,214.09068755669492,SL,-571.0784412003194,0.03531987574516181,0.95
13116,BUY,214.098,213.9286357297657,SL,-568.7941274355435,0.03358406862607936,0.95
13117,BUY,214.107,213.98294274037252,SL,-566.5189509258097,0.045665924962954095,0.95
13120,BUY,214.127,213.97002585063095,SL,-564.2528751220481,0.03594559214940734,0.95
13122,BUY,214.095,213.98072207432384,SL,-561.9958636215291,0.04917798956327711,0.95
13123,BUY,214.076,213.96227764044355,SL,-559.7478801671026,0.0492205650982174,0.95
13125,BUY,214.081,213.97375214915795,SL,-557.5088886464407,0.05198322243935232,0.95
13127,BUY,214.068,213.9596230265699,SL,-555.2788530918192,0.05123587008543162,0.95
13144,SELL,213.266,213.32,TIMEOUT,-70.2774587226956,0.0130143442079061,0.95
13145,SELL,213.317,213.307,TIMEOUT,13.514184186416964,0.013514184186390846,0.95
13146,SELL,213.357,213.391,TIMEOUT,-46.20311523045351,0.01358915153837195,0.95
13147,SELL,213.321,213.431,TIMEOUT,-152.72406474721583,0.01388400588610881,0.95
13148,SELL,213.376,213.372,TIMEOUT,5.766900593388105,0.014417251483503861,0.95
13149,SELL,213.424,213.406,TIMEOUT,26.66289890985194,0.014812721616583849,0.95
13150,SELL,213.336,213.364,TIMEOUT,-41.890616727453754,0.014960934545523694,0.95
13189,BUY,213.381,213.2119494557093,SL,-551.997132592553,0.032652786473334035,0.95
13201,BUY,213.393,213.25771078679196,SL,-549.789144062131,0.040638062046875624,0.95
13213,BUY,213.472,213.33780932324333,SL,-547.5899874859247,0.04080685787723251,0.95
13214,BUY,213.466,213.33646580015454,SL,-545.3996275359121,0.042104681866763576,0.936
13215,BUY,213.432,213.30378967157205,SL,-543.2180290257979,0.04236928769206847,0.95
13229,BUY,213.577,213.45265020936768,SL,-541.0451569097037,0.04350993710230402,0.95
13246,SELL,213.294,213.5141594467948,SL,-538.8809762820966,0.024476850034257543,0.941
13270,BUY,213.333,213.15206444829394,SL,-536.7254523769154,0.029663902274378116,0.95
13271,BUY,213.339,213.16316698770152,SL,-534.5785505674128,0.03040262710508229,0.95
13272,BUY,213.358,213.18636934572282,SL,-532.4402363651986,0.031022444015468085,0.95
13273,BUY,213.349,213.1841643924569,SL,-530.310475419734,0.03217208243559163,0.95
13274,BUY,213.369,213.21068836442427,SL,-528.1892335180477,0.033363892148368865,0.95
13275,BUY,213.376,213.22149633839396,SL,-526.076476583999,0.03404945042179009,0.95
13276,BUY,213.389,213.23921088565154,SL,-523.972170677651,0.034980657503501704,0.95
13277,BUY,213.408,213.263660108105,SL,-521.8762819948884,0.036156067123465425,0.95
13278,BUY,213.4,213.26029152895464,SL,-519.7887768669933,0.0372052441042179,0.95
13279,BUY,213.435,213.29487784831502,SL,-517.7096217594949,0.03694702197575512,0.95
13308,BUY,213.579,213.46064649937722,SL,-515.6387832724557,0.043567683301221384,0.95
13309,BUY,213.593,213.4769931779931,SL,-513.5762281393962,0.044271209162934734,0.95
13310,BUY,213.578,213.46567223670792,SL,-511.52192322675313,0.045538334267071795,0.95
